ID,Association Number,Association Name,Donation Receipt Date,Foreign Entity Name,Type of Foreign Entity,Donation Amount,Currency,Exchange Rate,Donation Purpose,Donation Conditions,Donation Year,Donation Quarter,Main Funding from Foreign Entity
1,580000370,עוז ושלום~ החוג הרעיוני לציונות דתית (ע~ר),29/06/2021,STICHINGQNET SOLIDARITEITS FAND,איחוד~ ארגון או חבר של גופים זרים,47416,אירו,3.95,עלון שבת שלום,אין תנאי,2020,1,לא
2,580000370,עוז ושלום~ החוג הרעיוני לציונות דתית (ע~ר),29/06/2021,PENN COMMISSIE DIENST,איחוד~ ארגון או חבר של גופים זרים,3296,אירו,3.88,עלון שבת שלום,אין תנאי,2020,1,לא
3,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4350,אירו,4.23,תמיכה בפסטיבל הסטודנטים,ללא,2018,4,לא
4,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות יוון,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,1577,אירו,4.15,כרטיסי טיסה לאמנים משתתפים בפסטיבל הסטודנטים,ללא,2018,4,לא
5,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות הונגריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7600,אירו,4.2,כרטיסי טיסה אורחים מהונגריה לפסטיבל הסטונדטים,ללא,2018,4,לא
6,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,2635,אירו,4.22,תמיכה בפסטיבל הסטודנטים,ללא,2018,4,לא
7,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,USAID,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,36400,דולר ארה~ב,3.64,תמיכה בפרוייקט אוטובוס הסרטים,ללא,2018,4,לא
8,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות קנדה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,2748,דולר קנדי,2.76,תמיכה בפסטיבל הסטודנטים,ללא,2018,4,לא
9,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות פורטוגל,איחוד~ ארגון או חבר של מדינות זרות,5133,אירו,4.27,תמיכה בפסטיבל הסטודנטים,ללא,2018,4,לא
10,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות רומניה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4210,אירו,4.34,תמיכה בפסטיבל הגאה,ללא,2018,4,לא
11,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,שגרירות ברזיל,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,7315,אירו,4.27,תמיכה בתשלום זכויות סרטים לפסטיבל הגאה,ללא,2018,4,לא
12,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,USAID,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,20925,דולר ארה~ב,3.63,תמיכה בפסטיבל הגאה,ללא,2018,4,לא
13,580002053,סינמטק תל - אביב (ע~ר),01/07/2019,קרן רייאן אנגליה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,34310,לירה שטרלינג,4.77,תמיכה בפרוייקט טלויזיה קהילתית,ללא,2018,4,לא
14,580002053,סינמטק תל - אביב (ע~ר),28/03/2023,שגרירות גרמניה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,233000,אירו,3.88,ביצוע פרויקט 100 ראיונות לקהילה הלהטבית,בחירה והתקשרות עם יוצר לביצוע הפרויקט,2021,4,לא
15,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות קנדה,מדינה זרה,7500,שקל חדש,0.0,פסטיבל גאה,פסטיבל גאה,2017,1,לא
16,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות פורטגל,מדינה זרה,5726,שקל חדש,3.88,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
17,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אירלנד,מדינה זרה,3880,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
18,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות פינלנד,מדינה זרה,2691,שקל חדש,0.0,פסטיבל גאה,פסטיבל הגאה,2017,2,לא
19,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות נורבגיה,מדינה זרה,3152,אירו,3.94,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
20,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שוויץ,מדינה זרה,1802,אירו,3.9,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
21,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שבדיה,מדינה זרה,3000,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
22,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות נורבגיה,מדינה זרה,2954,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
23,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ספרד,מדינה זרה,1400,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
24,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות נורבגיה,מדינה זרה,2925,אירו,3.9,פסטיבל ילדים,פסטיבל ילדים,2017,2,לא
25,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ארגנטינה,מדינה זרה,1440,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
26,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ארגנטינה,מדינה זרה,720,שקל חדש,0.0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
27,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,USAID,מדינה זרה,53910,שקל חדש,0.0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
28,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות גרמניה,מדינה זרה,4680,שקל חדש,0.0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
29,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שבדיה,מדינה זרה,1500,שקל חדש,0.0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
30,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות מקסיקו,מדינה זרה,890,דולר ארה~ב,3.56,פסטיבל הילדים,פסטיבל הילדים,2017,2,לא
31,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות בלגיה,מדינה זרה,1940,אירו,3.99,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
32,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אקוודור,מדינה זרה,1400,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,2,לא
33,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות שוויץ,מדינה זרה,1580,שקל חדש,0.0,פסטיבל ילדים,פסטיבל ילדים,2017,2,לא
34,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,המכון הפולני,מדינה זרה,7825,שקל חדש,0.0,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
35,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אוסטריה,מדינה זרה,3950,אירו,3.95,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,2,לא
36,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות ספרד,מדינה זרה,2920,דולר ארה~ב,3.65,פסטיבל הסטודנטים,פסטיבל הסטודנטים,2017,3,לא
37,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות אוסטריה,מדינה זרה,1596,אירו,4.2,פסטיבל הגאה,פסטיבל הגאה,2017,3,לא
38,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,WIDER,מדינה זרה,69094,שקל חדש,0.0,פסטיבל הגאה,פסטיבל הגאה,2017,4,לא
39,580002053,סינמטק תל - אביב (ע~ר),14/08/2018,שגרירות סין,מדינה זרה,72080,דולר ארה~ב,3.6,פסטיבל הסיני,פסטיבל הסיני,2017,4,לא
40,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות שבדיה,מדינה זרה,6000,אירו,4.3,פסטיבל גאה,פסטיבל גאה,2016,1,לא
41,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות אירלנד,מדינה זרה,4095,אירו,4.3,פסטיבל גאה,פסטיבל גאה,2016,1,לא
42,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות נורבגיה,מדינה זרה,16000,כתר נורבגי,0.45,פסטיבל הגאה,פסטיבל גאה,2016,2,לא
43,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות פולין,מדינה זרה,4300,אירו,4.3,פסטיבל סטודנטים,פסטיבל סטודנטים,2016,2,לא
44,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות אוסטריה,מדינה זרה,6465,אירו,4.3,פסטיבל סטודנטיןם,פסטיבל סטודנטים,2016,2,לא
45,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות נורבגיה,מדינה זרה,2078,כתר נורבגי,0.45,פסטיבל סטודנטים,פסטיבל סטודנטים,2016,3,לא
46,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות פינלנד,מדינה זרה,2940,אירו,4.3,פסטיבל ילדים,פסטיבל ילדים,2016,3,לא
47,580002053,סינמטק תל - אביב (ע~ר),24/07/2017,שגרירות צרפת,מדינה זרה,2048,אירו,4.3,פסטיבל סטודנטים,פסטיבל סטודנטים,2016,3,לא
48,580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות קנדה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4821,שקל חדש,2.98,תרומה לפסטיבל הגאה 2015,לקיים את הפסטיבל 2015,2015,2,לא
49,580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות שבדיה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,4000,שקל חדש,0.46,תרומה לפסטיבל הגאה 2015,קיום הפסטיבל ב2015,2015,2,לא
50,580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,5064,שקל חדש,4.32,תרומה לפסטיבל הסטודנטים,קיום הפסטיבל בשנת 2015,2015,3,לא
51,580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות נורבגיה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,2795,שקל חדש,0.46,פסטיבל סרטי ילדים ונוער הבינלאומי 2015,קיום הפסטיבל בשנת 2015,2015,3,לא
52,580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות דנמרק,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,3213,שקל חדש,0.58,פסטיבל סרטי ילדים ונוער הבינלאומי 2015,קיום הפסטיבל בשנת 2015,2015,3,לא
53,580002053,סינמטק תל - אביב (ע~ר),03/01/2017,שגרירות קנדה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,13011,שקל חדש,2.98,פסטיבל סרטי ילדים ונוער 2015,קיום הפסטיבל בשנת 2015,2015,3,לא
54,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),19/08/2018,ממשלת צ'כיה באמצעות שגרירות צ'כיה בישראל,מדינה זרה,55332,שקל חדש,0.0,הקצבה לפעילות העמותה,הגשת דוח מעקב,2018,2,לא
55,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),30/11/2017,ממשלת צ'כיה באמצעות השגרירות,מדינה זרה,51093,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2017,3,לא
56,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),26/09/2016,ממשלת צ'כיה באמצעות השגרירות,מדינה זרה,46889,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2016,2,לא
57,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),26/09/2016,ממשלת צ'כיה באמצעות השגרירות,מדינה זרה,21970,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2015,3,לא
58,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),26/09/2016,קרן העתיד של הרפובליקה האוסטרית ZUKUNFTSFOND,מדינה זרה,53820,אירו,4.5,8~910 ש~ח עבור הוצאת ספר לזכרה של קמילה הירש שהיתה בגטו טרזיינשטט. 44~910 ש~ח עבור פרוייקט דו קיום עם העדה הדרוזית,הגשת דוח מעקב,2015,3,לא
59,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),02/04/2023,ממשלת צ'כיה,מדינה זרה,66874,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2021,2,לא
60,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),06/06/2023,ממשלת צ'כיה,מדינה זרה,79115,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2023,1,לא
61,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),02/04/2023,ממשלת צ'כיה,מדינה זרה,66874,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2021,2,לא
62,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),18/10/2021,ממשלת צ'כיה,מדינה זרה,46926,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2019,2,לא
63,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),18/10/2021,ממשלת צ'כיה,מדינה זרה,28169,שקל חדש,0.0,פעילות שוטפת,הגשת דוח מעקב,2020,2,לא
64,580002780,קרן להנצחת זכר חללי גיטו טרזין (טרזיינשטט) (ע~ר),24/06/2024,ממשלת צ'כיב,מדינה זרה,79115,שקל חדש,0.0,המשך פעילות העמותה,דיווחים שוטפים,2023,3,לא
65,580006385,קרן תל אביב יפו לפיתוח (ע~ר),21/12/2022,KOMPETENZZENTRUM FUER DAS,רשות מקומית או מחוזית~ רשות שלטונית של מדינה זרה או של מדינה שחברה בברית מדינות במדינה זרה,501087,אירו,3.76,הפעלת מרכז העיר הלבנה,תרומה ייעודית להפעלת מרכז עיר לבנה תל אביב,2021,3,לא
66,580006385,קרן תל אביב יפו לפיתוח (ע~ר),22/12/2022,KOMPETENZZENTRUM FUER DAS,רשות מקומית או מחוזית~ רשות שלטונית של מדינה זרה או של מדינה שחברה בברית מדינות במדינה זרה,445740,אירו,3.91,הפעלת מרכז עיר לבנה,תרומה ייעודית להפעלת מרכז עיר לבנה בתל אביב,2021,1,לא
67,580006385,קרן תל אביב יפו לפיתוח (ע~ר),21/06/2020,KOMPETENZZENTRUM FUER DAS KASSEN,רשות מקומית או מחוזית~ רשות שלטונית של מדינה זרה או של מדינה שחברה בברית מדינות במדינה זרה,473601,אירו,4.16,הפעלת מרכז עיר לבנה,תרומה ייעודית להפעלת מרכז עיר לבנה בתל אביב,2020,1,לא
68,580006385,קרן תל אביב יפו לפיתוח (ע~ר),21/06/2020,KOMPETENZZENTRUM FUER DAS KASSEN,רשות מקומית או מחוזית~ רשות שלטונית של מדינה זרה או של מדינה שחברה בברית מדינות במדינה זרה,135713,אירו,4.02,הפעלת מרכז עיר לבנה תל אביב,תרומה ייעודית להפעלת מרכז עיר לבנה בת~א,2019,3,לא
69,580006559,פסטיבל ישראל~ ירושלים (ע~ר),23/06/2020,שגרירות צרפת,רשות מקומית או מחוזית~ רשות שלטונית של מדינה זרה או של מדינה שחברה בברית מדינות במדינה זרה,59022,שקל חדש,0.0,תמיכה בפרויקט במסגרת פסטיבל ישראל,קיום הפסטיבל,2019,4,לא
70,580006559,פסטיבל ישראל~ ירושלים (ע~ר),23/06/2020,מכון אדם מיסקביץ,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,50872,שקל חדש,0.0,תמיכה בפרויקט במסגרת פסטיבל ישראל,קיום הפסטיבל,2019,4,לא
71,580006559,פסטיבל ישראל~ ירושלים (ע~ר),10/12/2019,שגרירות ברזיל,רשות מקומית או מחוזית~ רשות שלטונית של מדינה זרה או של מדינה שחברה בברית מדינות במדינה זרה,10716,שקל חדש,0.0,תמיכה במופע במסגרת פסטיבל ישראל,קיום מופע,2019,2,לא
72,580006559,פסטיבל ישראל~ ירושלים (ע~ר),18/02/2019,מרכז צ'כי,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,10000,שקל חדש,0.0,תמיכה במופע ספוטניק,קיום מופע,2018,4,לא
73,580006559,פסטיבל ישראל~ ירושלים (ע~ר),18/02/2019,שגרירות אוסטריה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,8420,שקל חדש,0.0,תמיכה במופע ווילי דורנר,קיום מופע,2018,4,לא
74,580006559,פסטיבל ישראל~ ירושלים (ע~ר),18/02/2019,קונסוליה אוסטרלית,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,1222,שקל חדש,0.0,החזר עבור טיסה ואירוח של נציגת פסטיבל ישראל בפסטיבל בבלגיה,השתתפות בפסטיבל,2018,4,לא
75,580006559,פסטיבל ישראל~ ירושלים (ע~ר),18/02/2019,SALTO VEREIN,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,12250,שקל חדש,0.0,תמיכה ללהקת ווילי דורנר,קיום מופע,2018,4,לא
